1340,1775998501536,bird,0.906,"[104,14,206,153]"
1346,1775998501786,bird,0.905,"[109,13,205,153]"
1364,1775998502537,bird,0.893,"[87,14,249,153]"
1365,1775998502578,bird,0.935,"[84,14,252,154]"
1368,1775998502703,bird,0.878,"[81,14,253,154]"
1383,1775998503328,bird,0.876,"[106,35,173,153]"
1387,1775998503495,bird,0.622,"[106,37,174,153]"
1393,1775998503745,dog,0.594,"[106,40,174,153]"
1402,1775998504120,bird,0.599,"[107,41,174,152]"
1402,1775998504120,dog,0.576,"[107,42,174,152]"
1404,1775998504209,bird,0.755,"[107,41,174,152]"
1409,1775998504412,bird,0.796,"[108,41,174,152]"
1414,1775998504620,bird,0.745,"[108,39,174,152]"
1415,1775998504662,dog,0.619,"[108,39,173,153]"
1415,1775998504662,bird,0.580,"[108,39,173,152]"
811,1775998423647,dog,0.645,"[105,56,232,177]"
869,1775998426062,dog,0.508,"[101,31,226,177]"
882,1775998426606,dog,0.627,"[98,5,228,177]"
883,1775998426640,dog,0.669,"[99,8,227,177]"
885,1775998426765,dog,0.541,"[99,19,227,177]"
918,1775998428120,sheep,0.502,"[17,45,146,147]"
999,1775998431485,cat,0.865,"[72,11,154,158]"
1000,1775998431515,cat,0.873,"[71,10,153,158]"
1033,1775998433001,sheep,0.684,"[70,21,154,158]"
1034,1775998433002,sheep,0.690,"[69,22,153,157]"
1035,1775998433003,sheep,0.606,"[69,22,153,157]"
1036,1775998433020,sheep,0.723,"[69,21,153,157]"
1042,1775998433277,cat,0.674,"[70,24,153,157]"
1052,1775998433699,cat,0.862,"[82,16,172,160]"
1068,1775998434363,cat,0.767,"[115,8,213,171]"
1074,1775998434606,bear,0.681,"[137,21,227,177]"
1074,1775998434606,cat,0.626,"[136,21,228,177]"
1076,1775998434720,cat,0.805,"[146,22,241,177]"
1114,1775998436291,person,0.693,"[138,164,188,180]"
1146,1775998437600,person,0.760,"[53,73,254,178]"
1149,1775998437767,bird,0.778,"[51,68,257,178]"
1150,1775998437767,bird,0.677,"[50,65,258,178]"
1156,1775998438018,person,0.833,"[60,57,262,177]"
1169,1775998438561,person,0.542,"[74,53,258,177]"
1195,1775998495497,sheep,0.576,"[0,143,28,166]"
1209,1775998496078,sheep,0.699,"[0,138,28,161]"
1210,1775998496159,sheep,0.668,"[0,138,28,161]"
